<<<<<<< HEAD
ace,double_fault,first_serve,fast_win,return_depth,winner,net_win_rate,distance,unforced_error,rally,scored_last_point,score_diff
0,0,0,0,1.0,0.0,0,-0.7215,-1.0,0.1111111111111111,0,-0.3333333333333333
0,0,0,0,0.0,0.0,0,0,-0.5,0.1111111111111111,1,0.0
0,0,0,0,0.0,0.0,0.0,-0.630575,-0.6666666666666666,0.1111111111111111,0,-0.3333333333333333
0,0,0,0,-0.3333333333333333,0.0,0.0,-0.5964,-0.3333333333333333,0.1111111111111111,1,0.0
0,0,0,0,0.3333333333333333,0.3333333333333333,0.5,-0.8513,-0.3333333333333333,0.1111111111111111,1,0.3333333333333333
0,0,0,0,0.3333333333333333,0.3333333333333333,1.0,-1.0377750000000001,-0.3333333333333333,0.1111111111111111,0,0.0
0,0,0,0,0.6666666666666666,0.3333333333333333,1.0,-0.254525,-0.3333333333333333,0.1111111111111111,0,-0.3333333333333333
0,0,0,0,0.6666666666666666,0.0,0,-0.36669999999999997,-0.3333333333333333,0.1111111111111111,1,0.0
0,0,0,0,0.6666666666666666,0.0,0,-1.1174250000000001,0.0,0.1111111111111111,0,-0.3333333333333333
0,0,0,0,0.3333333333333333,0.0,0,-0.2918,0.0,0.1111111111111111,1,0.0
0,0,0,0,0.3333333333333333,0.0,0,-0.72735,-0.3333333333333333,0.1111111111111111,0,-0.3333333333333333
0,0,0,0,0.0,0.0,0,0,-0.3333333333333333,0.1111111111111111,0,-0.6666666666666666
0.0,0.0,0.0,0.0,0.0,0.0,0,-0.3358,-0.3333333333333333,0.1111111111111111,0,-0.3333333333333333
0.0,0.0,0.5,0.0,0.0,0.0,0,-1.03515,0.0,0.1111111111111111,0,-0.6666666666666666
0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,-0.357925,0.0,0.1111111111111111,1,-0.3333333333333333
0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0,-0.4079750000000001,0.0,0.1111111111111111,1,0.0
0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0,-1.1526999999999998,0.0,0.1111111111111111,1,0.3333333333333333
0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0,0,0.0,0.1111111111111111,0,0.0
0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0,0,0.0,0.1111111111111111,1,0.3333333333333333
0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,-0.612625,0.0,0.1111111111111111,0,0.0
0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,-0.47865,0.0,0.1111111111111111,0,-0.3333333333333333
0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-0.25805,-0.3333333333333333,0.1111111111111111,0,-0.6666666666666666
0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0,-0.32395,-0.3333333333333333,0.1111111111111111,1,0.3333333333333333
0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0,-0.3333333333333333,0.1111111111111111,1,0.6666666666666666
0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0,0,0.0,0.1111111111111111,0,0.3333333333333333
0.0,0.0,0.6666666666666666,0.0,-0.3333333333333333,0.0,1.0,-1.187025,0.0,0.1111111111111111,1,0.6666666666666666
0.0,0.0,0.6666666666666666,0.0,-0.3333333333333333,0.0,1.0,-0.79375,0.0,0.1111111111111111,1,1.0
0.0,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.0,1.0,-0.30622499999999997,0.0,0.1111111111111111,1,0.3333333333333333
0.0,0.0,0.6666666666666666,0.6666666666666666,-0.3333333333333333,0.0,1.0,-0.319125,0.0,0.1111111111111111,1,0.6666666666666666
0.0,0.0,0.6666666666666666,1.0,-0.3333333333333333,0.0,1.0,-0.345375,0.0,0.1111111111111111,1,1.0
0.0,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.0,1.0,-0.308575,0.0,0.1111111111111111,0,0.6666666666666666
0.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.0,0,-0.5543750000000001,-0.3333333333333333,0.1111111111111111,0,0.3333333333333333
0.0,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0,0,0,-0.3333333333333333,0.1111111111111111,0,0.0
0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,0,-0.3333333333333333,0.1111111111111111,1,0.3333333333333333
0.3333333333333333,0.0,1.0,0.6666666666666666,-0.3333333333333333,0.3333333333333333,0,-0.36822499999999997,0.0,0.1111111111111111,1,0.6666666666666666
