ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,break_point_diff,speed_mph
0,0,0,0,0,0,0,-0.8837250000000001,0,-0.5555555555555556,0.0,0.63
0,0,0,1,1,0,0,-0.372825,0,-0.1111111111111111,0.0,0.51
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.82
0,0,1,1,0,0,0,-0.352875,0,-0.1111111111111111,0.0,0.78
0,0,1,0,0,0,0,-0.649775,0,-0.2222222222222222,-0.5,0.77
0,0,0,0,1,0,0,-0.5493,-1,-0.4444444444444444,-0.5,0.55
0,0,1,0,1,0,0,-0.31412500000000004,0,0.0,0.0,0.83
0,0,1,0,1,0,0,-0.8775000000000001,0,-0.4444444444444444,0.0,0.8
0,0,0,0,1,0,0,-0.407925,0,-0.3333333333333333,0.0,0.5
0,0,1,1,0,0,0,-0.32237499999999997,0,0.0,0.0,0.69
0,0,1,0,0,0,0,-0.2873,-1,-0.1111111111111111,0.0,0.78
0,0,1,1,0,0,0,0,0,0.0,0.0,0.76
0,0,1,0,0,1,0,-0.9719,0,-1,0.0,0.57
0,0,0,0,0,1,0,-0.5008250000000001,0,-0.4444444444444444,0.0,0.41
0,0,1,0,1,0,0,-0.40047499999999997,0,-0.2222222222222222,0.0,0.65
0,0,0,1,0,0,0,-0.509,0,-0.1111111111111111,0.0,0.57
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.66
0,0,1,0,0,0,0,-0.5124000000000001,0,-0.2222222222222222,0.0,0.78
0,0,0,0,1,0,0,0,0,0.0,0.0,0.57
0,0,1,1,0,1,1,-0.44725000000000004,0,-0.2222222222222222,0.0,0.66
1,0,1,1,-1,1,0,0,0,0.0,0.0,0.8
0,0,1,1,0,0,0,-0.39242499999999997,0,0.0,0.0,0.66
0,0,1,1,0,0,0,-0.461275,0,-0.2222222222222222,0.0,0.66
0,0,0,0,0,0,0,-0.953375,0,-0.5555555555555556,0.0,0.51
0,0,1,0,0,0,0,-0.421625,0,-0.2222222222222222,0.0,0.8
0,0,1,0,0,0,0,-0.390475,0,-0.2222222222222222,0.0,0.82
