ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,break_point_diff,speed_mph
0,0,1,0,1,1,0,-0.330125,0,-0.3333333333333333,0.0,0.79
0,0,1,0,0,0,0,-0.6057750000000001,0,-0.2222222222222222,0.0,0.75
0,0,0,0,0,0,0,-0.462425,0,-0.4444444444444444,0.0,0.58
0,0,0,0,0,0,0,-0.37472500000000003,0,-0.2222222222222222,0.0,0.53
0,0,1,0,1,0,0,0,0,0.0,0.0,0.71
0,-1,0,0,-1,0,0,0,-1,0.1111111111111111,0.0,-1
0,0,1,1,1,0,0,0,0,0.0,0.0,0.84
0,0,0,1,0,1,0,0,0,0.0,0.0,0.64
0,0,0,1,1,0,0,0,0,0.0,0.0,0.65
0,0,1,1,-1,1,0,0,0,0.0,0.0,0.78
0,0,0,0,0,0,0,-0.41552500000000003,0,-0.2222222222222222,0.0,0.61
0,0,0,0,0,1,0,-0.36755,0,-0.3333333333333333,0.0,0.58
0,0,0,1,0,0,0,-0.327225,0,-0.1111111111111111,0.0,0.52
0,0,1,0,1,0,0,0,0,0.0,0.0,0.72
0,0,0,1,0,0,0,-0.291275,0,-0.1111111111111111,0.0,0.57
0,0,1,0,0,0,0,-0.5642,0,-0.3333333333333333,0.5,0.76
0,0,0,0,1,0,0,-0.38685,-1,-0.3333333333333333,0.0,0.51
0,0,1,1,0,0,0,0,0,0.0,0.0,0.83
0,0,1,1,0,1,0,-0.296575,0,-0.2222222222222222,0.0,0.77
0,0,1,0,0,0,0,-0.385625,0,-0.1111111111111111,0.0,0.74
0,0,1,1,1,0,0,-0.53065,0,-0.2222222222222222,0.0,0.73
0,0,0,1,1,0,0,-0.256575,0,0.0,0.0,0.35
0,0,1,1,0,0,0,-0.261075,0,-0.1111111111111111,0.0,0.78
0,0,0,0,0,1,0,-0.57275,0,-0.3333333333333333,0.0,0.56
0,0,1,0,0,0,0,-0.7534500000000001,0,-0.8888888888888888,0.0,0.71
0,0,1,0,0,0,0,-0.350075,0,-0.2222222222222222,0.0,0.67
0,0,1,0,1,0,0,0,0,0.0,0.0,0.71
0,0,1,0,0,0,0,-0.30075,0,-0.2222222222222222,0.0,0.72
0,-1,0,0,-1,0,0,0,-1,0.1111111111111111,0.0,-1
0,-1,0,0,-1,0,0,0,-1,0.1111111111111111,0.0,-1
0,0,0,0,0,1,0,-0.45314999999999994,0,-0.4444444444444444,0.0,0.53
0,0,0,0,0,0,0,-0.634625,0,-0.5555555555555556,0.0,0.51
0,0,1,1,-1,0,0,0,0,0.0,0.0,0.73
1,0,1,1,1,1,0,0,0,0.0,0.0,0.77
