point_no,p1_momentum,p2_momentum
1,0.2789335463580917,-0.09526632787502366
2,0.40503583912705104,-0.26193299454169033
3,0.4560522757480491,-0.5036585241389047
4,0.6208740695119046,-0.684727803736119
5,-0.28806700545830966,0.2789335463580917
6,-0.45768600272915483,0.35110128109558547
7,-0.5963391666666668,0.44888891960008814
8,-0.7301382204027856,0.5820431766547617
9,0.18927232348015893,-0.16811363706945234
10,0.40905478820679037,-0.292866553736119
11,0.4577897162242396,-0.489073107472238
12,0.498926383006007,-0.7146485241389047
13,0.3115235872702177,-0.16136524749418324
14,0.4512641947424556,-0.25983391991897276
15,0.1012917795972143,-0.21251761456489887
16,-0.035817387069452325,0.010088959936780328
17,0.22794730919442863,-0.23418296771330138
18,-0.099383107472238,-0.18426798975915717
19,-0.14403977413890465,0.16930073158123118
20,0.10735982579417354,-0.0728783006057177
21,-0.14644373340025513,0.30509633802506936
22,-0.4459675963308028,0.2693750038232134
23,0.25722920279524547,-0.02504339460861213
24,0.32573427036862457,-0.2590629945416903
25,0.38972423509525567,-0.549095607472238
26,0.6254497530485223,-0.695149053736119
27,0.2200099317449862,-0.08972700074257148
28,0.03343307427274816,0.13212319410327733
29,0.28688959993307817,-0.08099078814697638
30,0.34477708333333335,-0.3564376414346416
31,0.02550113706945234,-0.13707299190308173
32,-0.04744447040278567,-0.02867944490372673
33,-0.12619988706945234,0.30603183561176944
34,0.09200177959721431,-0.02539977856709523
35,-0.24558166666666664,0.16399643450689033
36,-0.3832458333333333,0.3309393664344148
37,0.21371453050971811,-0.1804983001338436
38,0.011097171603192665,0.09498672794194536
39,0.3204656009247274,-0.16897965158834716
40,-0.04285700829634159,0.03316076507831951
41,0.23417621367517202,-0.24698469626388098
42,-0.08097685452193955,0.07893139100633663
43,-0.15370545681470826,0.26471930767300333
44,-0.5304440594107479,0.3503297243396699
45,0.2299701129305477,-0.13361747268976326
46,-0.02948738706945234,0.07781510870866067
47,0.261087196263881,-0.19140598960254224
48,-0.12378375,-0.011215629114862236
49,-0.2759979166666667,0.13006837101151159
50,0.052915000000000004,-0.03772591910441059
51,-0.22491166666666665,0.1914862713000389
52,-0.34119655373611896,0.3191370824102483
53,-0.18312237510739668,0.26409464460861204
54,-0.30363960835254644,0.42937837800886713
55,-0.5526673177881728,0.5555230742727482
56,-0.48903990817617926,0.8880460923939184
57,-0.188168107472238,0.18565876641802376
58,0.181474088791643,0.10426816718143442
59,0.3381545054583096,-0.1435751569228802
60,0.08103158879164299,0.1054036173837006
61,-0.198034357472238,0.04607648978741513
62,-0.3333333333333333,0.44571313900021287
63,0.15323074778210222,-0.12686587800886726
64,0.26595832256676954,-0.3199210075391598
65,0.535298610359267,-0.5142361370694524
66,0.5842982245567976,-0.6664898870694523
67,0.17868738706945234,-0.16786372693304785
68,0.3391357370025306,-0.3643742706969034
69,0.5797561536691972,-0.43837908205009435
70,0.3130894870025305,-0.22632110328959504
71,0.51176625,-0.500475883661981
72,0.3308196306676549,-0.165402471924211
73,0.4722911863362723,-0.30953322040278564
74,0.6195410376154787,-0.5404667795972143
75,0.370906518032311,-0.21311040006692178
76,0.5938177449728932,-0.5607106259280171
77,-0.14644373340025513,0.3349801091309116
78,0.07975615366919721,0.044256749928509115
79,-0.3650914758610953,0.0749594503745517
80,-0.3806208333333333,0.30476341082374037
81,-0.5,0.5848144684857475
82,-0.06300742402299475,0.243385028075789
83,-0.3215967339877215,0.3710854447424556
84,-0.5149960545606593,0.6096648091944287
85,-0.23649948904856313,0.31963886293054766
86,-0.043537779298393864,0.16265844626388098
87,0.103613216166061,-0.06368249999999999
88,-0.13601622268976327,0.20649416666666667
89,-0.039048276479611566,-0.11906249999999999
90,-0.25228368331972784,0.1849616666666667
91,-0.06090414424934626,-0.1586925
92,0.2647977506860085,-0.16666666666666666
93,-0.18043127338920356,0.004146779597214323
94,-0.21201090058083905,0.2549377258610953
95,-0.03337354089951375,-0.08646697040278568
96,-0.15460507308646237,0.3273563795302925
97,-0.29839121208841307,0.4070975165997449
98,-0.22380011293054763,0.36070340177349713
99,-0.43100052959721435,0.4722911863362723
100,-0.10384873340025512,0.1451088085966848
101,0.11965264613003739,-0.029917229177146183
102,0.34757931279670407,-0.2053349426072268
103,0.4221323257941736,-0.5151485154716117
104,0.2428562239725786,-0.11906644080557133
105,0.3194127617650757,-0.3529582204027856
106,0.5763911659015106,-0.5
107,0.6419475658133269,-0.7630401129305477
108,-0.07062089460861212,0.1405650850441769
109,-0.2523997741389047,0.36796223266454675
110,-0.5631736370694523,0.407095805528931
111,-0.642866553736119,0.6468863949220421
112,0.1542933694619119,-0.25558291666666666
113,0.2917341926092847,-0.3368872741389047
114,0.438255748277902,-0.46983394080557134
115,0.6767701660278843,-0.6023997741389047
116,-0.16666666666666666,0.2783767613054926
117,-0.41963697040278564,0.24054042312207066
118,-0.6056804166666667,0.44501340074836
119,-0.24999999999999997,0.2753137769561806
120,-0.5791454166666667,0.4102294285052914
121,-0.027639956660133747,-0.2523997741389047
122,0.28146471706120696,-0.281054661208357
123,0.0038712017554819456,-0.08285766272978234
124,0.26980491779359184,-0.40293610899366333
125,0.44780798437207503,-0.5045611089936634
126,0.3000997409394149,-0.15398022800696926
127,0.5070374221249764,-0.2915271057203558
128,0.20713344626388097,0.0004488831249884091
129,-0.009880720402785668,0.08963325524571497
130,0.21604916666666668,-0.11816318798903998
131,0.36982064252776203,-0.4354367419637423
132,0.1554187378671325,-0.23224894080557132
133,0.30074286027084746,-0.308129661208357
134,0.5403138435159974,-0.4190664408055713
135,0.3385501750856625,-0.13217684087249312
136,0.5515226279523989,-0.43887850753915975
137,-0.17845238706945235,0.20842640804650958
138,-0.3333333333333333,0.4610824018998709
139,-0.5404667795972143,0.5975387244117578
140,-0.769762196263881,0.6187867056558423
141,-0.15476303385086743,0.3353952705366292
142,-0.3423216890536892,0.44079015760608153
143,-0.08209224681383029,0.16583469626388098
144,-0.13954928838437367,-0.07117019080557133
145,0.03318718725212344,-0.262223107472238
146,-0.16810272719664554,0.027115529597214333
147,0.26400378248282574,-0.20713344626388097
148,0.4311986307940287,-0.3728508333333333
149,-0.14644373340025513,0.2789335463580917
150,-0.3820908333333333,0.3530537329790899
151,-0.11936166666666664,0.08930630232944968
152,-0.292866553736119,0.36796223266454675
153,-0.60515,0.3783529542766498
154,0.1157241723532984,-0.20692027309847966
155,0.30498726503275225,-0.34151807683459867
156,0.01580613729316485,-0.09452766016793197
157,0.2767567677364338,-0.3418248423939184
158,0.05736953449128397,-0.06667400906058514
159,-0.09614704399196108,-0.0012270552575443516
160,0.0027185103672167643,-0.30863205525754434
161,-0.2905042652059756,-0.03206913859087769
162,0.04812536281660018,-0.26636791666666665
163,-0.18647532942325873,0.037259279597214326
164,0.08994260250426589,-0.2598423870694524
165,0.33222437118071335,-0.2523997741389047
166,0.2780213795302925,-0.17295171771330126
167,0.04046677959721433,0.12077288028335861
168,-0.171788107472238,0.1886542395044271
169,-0.2523997741389047,0.45114362782602513
170,-0.026199887069452324,0.22365666675310455
171,0.08669927959721432,-0.025937185854207692
172,0.24707584993307816,-0.17369872364670494
173,-0.0712138463308028,0.031548272637416816
174,0.15249657033586383,-0.17882778335905586
175,0.30450477413890464,-0.2526144808899198
176,-0.161574359575548,0.29599272586109526
177,-0.39619436762511795,0.4165748257941736
178,-0.21464316320878182,0.11933387953029252
179,-0.30923594539573046,0.3742625165997449
180,-0.038682876185056524,0.0772275
181,-0.07945694775896991,-0.16300666666666666
182,-0.2251230272371109,0.20342927959721435
183,-0.4382580174105607,0.38300511293054773
184,-0.22380011293054763,0.2735947497718947
185,-0.45694939252776196,0.37733503285964515
186,-0.5809335591944287,0.6316853196385802
187,-0.7916627258610953,0.6728485876031194
188,-0.30625537411250087,0.23574517420582639
189,0.14749245700293534,0.07862057427274816
190,0.2839487795148222,-0.15482902309847962
191,0.42040510202670905,-0.2523997741389047
192,0.08527832613897347,-0.08768863706945232
193,0.28606806599787993,-0.358394053736119
194,-0.22165083333333332,0.2552542296043277
195,0.03746899246084018,-0.15216778276755225
196,-0.1751088112752788,0.07431530830080765
197,-0.2526904779419455,0.38432777964119597
198,-0.10713727413890466,0.038527719348613876
199,-0.355030303736119,0.36660162910390937
200,-0.161165712422296,0.2534162831994897
201,-0.2903006771489272,0.4270879498661564
202,-0.19032609798532946,0.04916709993307819
203,0.1054036173837006,0.02380011293054766
204,-0.28337520680343564,0.22478980919442865
205,-0.06551449174894913,-0.05093102413890468
206,0.21613664725300188,-0.10239977413890466
207,0.4100510722837815,-0.3068026908055713
208,0.20892041666666666,-0.15404144290888133
209,-0.10547302959721433,0.07219896584024493
210,-0.2476002258610953,0.3270378647384992
211,-0.5304193925277619,0.3225992652478469
212,-0.60180875,0.3543167412929813
213,0.34618889356731297,-0.1059769538030408
214,-0.005335686553226929,0.06122927959721432
215,0.1962602321600963,-0.23655166666666666
216,0.3988422878473802,-0.2907585241389047
217,0.4546457304017819,-0.5111156074722379
218,-0.23397113706945233,0.07942110755714982
219,-0.3330114408055713,0.2929966146118236
220,-0.09382155373611899,0.0666069977821022
221,-0.4319369704027856,0.16849445219843814
222,-0.10713344626388098,0.11469119245874954
223,-0.43636136293054767,0.24883398025124662
224,0.32504133505706584,-0.12493569232699668
225,0.0821851110844872,0.13815379467553385
226,0.26857951661516416,-0.22737729259468378
227,0.3293784118222338,-0.40888967966413614
228,0.21485966766721837,-0.14651594626388098
229,0.35057655038326757,-0.3333333333333333
230,0.08860158181190797,-0.25079260234559375
231,-0.09877716818809203,0.022427813782021716
