ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,break_point_diff,speed_mph
0,0,1,0,0,0,0,0,0,0.0,0.0,0.62
0,0,0,0,1,0,0,-0.6897,-1,-0.4444444444444444,0.0,0.39
0,0,1,0,0,0,0,-0.30700000000000005,0,-0.2222222222222222,0.0,0.58
0,0,1,0,1,0,0,-0.311525,0,0.0,0.0,0.54
0,0,1,0,1,0,0,-0.7828,0,-0.6666666666666666,0.0,0.71
0,0,1,0,0,0,1,-0.545725,0,-0.4444444444444444,0.0,0.74
0,0,0,0,1,0,0,-0.3111,0,-0.1111111111111111,0.0,0.44
1,0,1,1,-1,1,0,0,0,0.0,0.0,0.73
0,0,1,1,0,0,1,-0.5448500000000001,0,-0.2222222222222222,0.0,0.66
0,0,1,0,-1,0,0,-0.25795,0,0.0,0.0,0.6
0,0,1,1,0,0,0,-0.318325,0,-0.1111111111111111,0.0,0.62
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.58
0,0,0,1,1,0,0,-0.577725,0,-0.1111111111111111,0.0,0.42
0,0,1,0,1,0,0,-1.1914500000000001,-1,-0.8888888888888888,0.0,0.54
0,0,1,0,0,1,0,-1,0,-1,0.0,0.48
0,0,0,0,0,0,0,-0.633075,0,-0.2222222222222222,0.0,0.52
0,0,1,0,1,1,0,-0.83415,0,-0.5555555555555556,0.0,0.66
0,0,1,0,0,0,0,-0.309625,0,0.0,0.0,0.69
0,0,0,0,1,0,0,-0.328675,0,0.0,0.0,0.45
0,0,1,0,1,0,0,-1.217375,0,-1.0,0.0,0.73
0,0,1,1,0,1,1,-0.3832,0,-0.2222222222222222,0.0,0.72
0,0,1,1,1,0,0,-0.3185,0,0.0,0.0,0.77
0,0,0,0,0,1,0,-0.544775,0,-0.4444444444444444,0.0,0.49
0,0,1,0,1,0,0,-0.3252,0,-0.1111111111111111,0.0,0.73
0,0,0,0,1,1,0,-0.490025,0,-0.4444444444444444,0.0,0.6
0,0,0,0,1,0,0,-1.218525,0,-1.0,0.0,0.47
0,0,1,0,1,0,0,-0.31105,0,0.0,0.0,0.75
0,0,1,0,0,0,0,-0.966175,0,-0.4444444444444444,0.0,0.72
0,0,0,0,1,0,0,-1.2471999999999999,0,-1.0,0.0,0.44
0,0,1,0,0,0,0,-0.729875,0,-0.2222222222222222,0.0,0.59
0,0,1,0,-1,0,0,-0.6652250000000001,0,-0.2222222222222222,0.0,0.65
0,0,1,0,0,1,0,-0.667675,0,-0.4444444444444444,0.0,0.64
0,0,0,0,0,0,0,-1.239925,0,-1.0,0.0,0.42
0,0,0,0,0,0,0,-1.2135,0,-1,0.0,0.57
0,0,1,0,0,0,0,-1.1944000000000001,0,-1,0.0,0.75
0,0,0,1,0,0,0,-0.573275,0,-0.2222222222222222,0.0,0.48
