ace_,double_fault_,first_serve_,fast_win_,return_depth_,winner_,nat_pt_won_,distance,unf_err_,rally_,break_point_diff,speed_mph
0,0,1,0,1,0,0,-0.605975,0,-0.4444444444444444,0.0,0.6
0,0,0,1,0,0,0,0,0,0.0,0.0,0.58
0,0,1,0,0,0,0,-0.444175,0,-0.3333333333333333,0.0,0.61
0,0,1,0,0,0,0,-0.418325,-1,-0.3333333333333333,0.0,0.76
0,0,0,0,0,0,0,-0.43010000000000004,0,-0.3333333333333333,0.0,0.34
0,0,1,0,1,0,0,-0.58875,0,-0.4444444444444444,0.0,0.69
0,0,1,0,1,0,0,-1.12735,0,-1,0.0,0.74
0,0,0,0,0,0,0,-0.5298,0,-0.4444444444444444,0.0,0.37
0,0,0,0,0,0,0,-0.559525,0,-0.4444444444444444,0.0,0.37
0,0,0,1,0,0,0,-0.45005000000000006,0,-0.2222222222222222,0.0,0.41
0,0,1,1,1,0,0,-0.419625,0,-0.1111111111111111,0.0,0.66
0,0,1,0,1,0,0,0,0,0.0,0.0,0.78
0,0,1,0,0,0,0,-0.8622,0,-0.2222222222222222,0.0,0.68
0,0,1,1,0,0,0,-0.441125,0,-0.1111111111111111,0.0,0.76
0,0,1,0,0,0,0,-0.74025,0,-0.5555555555555556,0.0,0.82
0,0,0,0,1,0,0,-0.519425,0,-0.3333333333333333,0.5,0.46
0,0,1,0,0,0,0,-0.5549000000000001,0,-0.5555555555555556,0.0,0.57
0,0,1,0,0,0,0,-0.59395,0,-0.4444444444444444,0.0,0.74
0,0,0,1,0,0,0,0,0,0.0,0.0,0.53
0,0,0,0,0,0,0,-0.7604,0,-0.6666666666666666,0.0,0.52
0,0,0,0,0,0,0,-0.427325,0,-0.1111111111111111,0.0,0.41
0,0,1,1,0,0,0,-0.4337,0,0.0,0.0,0.71
0,0,1,0,1,0,0,-0.2846,0,0.0,0.0,0.79
0,0,0,0,0,0,0,0,-1,0.0,0.0,0.47
0,0,1,0,-1,0,0,0,0,0.0,0.0,0.74
0,0,0,0,1,0,0,-0.62965,0,-0.5555555555555556,0.0,0.41
0,0,0,0,0,0,0,-0.5715250000000001,0,-0.4444444444444444,0.0,0.49
0,0,1,1,0,1,1,-0.304825,0,-0.2222222222222222,0.0,0.61
0,0,0,0,0,0,0,-0.55395,0,-0.3333333333333333,0.0,0.4
0,0,1,0,1,1,0,-0.866925,0,-0.6666666666666666,0.0,0.72
0,0,0,0,0,0,0,-1.043525,-1,-0.7777777777777778,0.0,0.31
0,0,1,0,0,0,0,-0.9441,0,-1.0,0.0,0.73
0,0,0,0,0,0,0,-0.5978749999999999,0,-0.4444444444444444,0.0,0.28
0,0,1,0,0,1,1,-0.47155,0,-0.4444444444444444,0.0,0.74
1,0,1,1,-1,1,0,0,0,0.0,0.0,0.72
0,0,1,0,1,0,0,-0.936225,0,-0.4444444444444444,0.0,0.78
